"GEO_ID","NAME","P1_001N","P1_001NA","P1_002N","P1_002NA","P1_003N","P1_003NA","P1_004N","P1_004NA","P1_005N","P1_005NA","P1_006N","P1_006NA","P1_007N","P1_007NA","P1_008N","P1_008NA","P1_009N","P1_009NA","P1_010N","P1_010NA","P1_011N","P1_011NA","P1_012N","P1_012NA","P1_013N","P1_013NA","P1_014N","P1_014NA","P1_015N","P1_015NA","P1_016N","P1_016NA","P1_017N","P1_017NA","P1_018N","P1_018NA","P1_019N","P1_019NA","P1_020N","P1_020NA","P1_021N","P1_021NA","P1_022N","P1_022NA","P1_023N","P1_023NA","P1_024N","P1_024NA","P1_025N","P1_025NA","P1_026N","P1_026NA","P1_027N","P1_027NA","P1_028N","P1_028NA","P1_029N","P1_029NA","P1_030N","P1_030NA","P1_031N","P1_031NA","P1_032N","P1_032NA","P1_033N","P1_033NA","P1_034N","P1_034NA","P1_035N","P1_035NA","P1_036N","P1_036NA","P1_037N","P1_037NA","P1_038N","P1_038NA","P1_039N","P1_039NA","P1_040N","P1_040NA","P1_041N","P1_041NA","P1_042N","P1_042NA","P1_043N","P1_043NA","P1_044N","P1_044NA","P1_045N","P1_045NA","P1_046N","P1_046NA","P1_047N","P1_047NA","P1_048N","P1_048NA","P1_049N","P1_049NA","P1_050N","P1_050NA","P1_051N","P1_051NA","P1_052N","P1_052NA","P1_053N","P1_053NA","P1_054N","P1_054NA","P1_055N","P1_055NA","P1_056N","P1_056NA","P1_057N","P1_057NA","P1_058N","P1_058NA","P1_059N","P1_059NA","P1_060N","P1_060NA","P1_061N","P1_061NA","P1_062N","P1_062NA","P1_063N","P1_063NA","P1_064N","P1_064NA","P1_065N","P1_065NA","P1_066N","P1_066NA","P1_067N","P1_067NA","P1_068N","P1_068NA","P1_069N","P1_069NA","P1_070N","P1_070NA","P1_071N","P1_071NA",
"1400000US25021400202","Census Tract 4002.02, Norfolk County, Massachusetts","3625","null","3329","null","1960","null","222","null","6","null","1038","null","0","null","103","null","296","null","283","null","16","null","2","null","60","null","3","null","162","null","2","null","4","null","0","null","15","null","0","null","0","null","4","null","12","null","3","null","0","null","10","null","0","null","0","null","0","null","4","null","0","null","0","null","1","null","0","null","5","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","3","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25021400300","Census Tract 4003, Norfolk County, Massachusetts","4310","null","3930","null","2998","null","86","null","8","null","761","null","0","null","77","null","380","null","368","null","28","null","9","null","116","null","7","null","202","null","0","null","1","null","0","null","5","null","0","null","0","null","0","null","0","null","0","null","0","null","12","null","2","null","0","null","0","null","3","null","1","null","1","null","2","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25021400401","Census Tract 4004.01, Norfolk County, Massachusetts","3890","null","3598","null","2825","null","55","null","1","null","656","null","1","null","60","null","292","null","283","null","22","null","8","null","89","null","5","null","146","null","0","null","0","null","0","null","3","null","0","null","0","null","1","null","0","null","8","null","1","null","9","null","1","null","0","null","0","null","5","null","0","null","0","null","0","null","0","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25021400402","Census Tract 4004.02, Norfolk County, Massachusetts","2045","null","1832","null","1475","null","27","null","0","null","308","null","0","null","22","null","213","null","203","null","21","null","2","null","85","null","0","null","90","null","0","null","4","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","9","null","0","null","0","null","0","null","0","null","2","null","0","null","1","null","3","null","2","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25021400500","Census Tract 4005, Norfolk County, Massachusetts","5558","null","5104","null","4118","null","114","null","5","null","776","null","4","null","87","null","454","null","435","null","40","null","14","null","169","null","2","null","198","null","0","null","0","null","0","null","8","null","0","null","0","null","0","null","0","null","4","null","0","null","19","null","8","null","2","null","0","null","1","null","0","null","0","null","4","null","2","null","1","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25021400600","Census Tract 4006, Norfolk County, Massachusetts","5492","null","5061","null","3922","null","83","null","5","null","933","null","3","null","115","null","431","null","414","null","31","null","13","null","124","null","0","null","229","null","2","null","6","null","0","null","2","null","1","null","0","null","3","null","3","null","0","null","0","null","16","null","1","null","6","null","0","null","1","null","0","null","0","null","3","null","3","null","0","null","0","null","1","null","0","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","1","null","0","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25021400700","Census Tract 4007, Norfolk County, Massachusetts","3986","null","3626","null","2727","null","90","null","17","null","704","null","1","null","87","null","360","null","332","null","48","null","6","null","113","null","0","null","151","null","0","null","0","null","0","null","5","null","0","null","0","null","7","null","0","null","2","null","0","null","23","null","2","null","3","null","0","null","7","null","1","null","0","null","9","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","5","null","1","null","0","null","3","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25021400800","Census Tract 4008, Norfolk County, Massachusetts","6077","null","5557","null","3883","null","128","null","7","null","1442","null","2","null","95","null","520","null","476","null","31","null","12","null","142","null","0","null","255","null","9","null","0","null","0","null","15","null","0","null","0","null","3","null","4","null","3","null","2","null","41","null","1","null","0","null","0","null","3","null","5","null","0","null","12","null","9","null","9","null","0","null","0","null","0","null","1","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","3","null","3","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25021400900","Census Tract 4009, Norfolk County, Massachusetts","4354","null","3953","null","2420","null","325","null","21","null","1080","null","2","null","105","null","401","null","368","null","32","null","6","null","118","null","0","null","173","null","8","null","0","null","2","null","22","null","0","null","0","null","3","null","3","null","0","null","1","null","27","null","9","null","1","null","0","null","5","null","1","null","0","null","0","null","2","null","5","null","0","null","0","null","0","null","0","null","0","null","4","null","0","null","0","null","0","null","0","null","0","null","6","null","1","null","0","null","5","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
"1400000US25021401000","Census Tract 4010, Norfolk County, Massachusetts","3534","null","3159","null","2264","null","250","null","3","null","554","null","0","null","88","null","375","null","351","null","43","null","5","null","100","null","2","null","164","null","3","null","4","null","0","null","24","null","2","null","0","null","2","null","0","null","2","null","0","null","22","null","6","null","1","null","0","null","7","null","1","null","0","null","4","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","1","null","0","null","0","null","0","null","0","null","0","null","2","null","0","null","0","null","2","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null","0","null",
